=== Day 17 ===
compulsory | kəmˈpʌlsəri | 의무적인, 강제적인 | mandatory, required | optional | Education is compulsory. | 교육은 의무이다. | Compulsory military service. | 의무 병역.
mitigate | ˈmɪtɪɡeɪt | 완화하다, 경감하다 | lessen, alleviate | worsen | Steps to mitigate risk. | 위험을 완화하기 위한 조치. | Mitigate the damage. | 피해를 경감하다.
inscrutable | ɪnˈskruːtəbl | 이해할 수 없는, 불가해한 | mysterious, enigmatic | transparent | Her expression was inscrutable. | 표정이 이해할 수 없었다. | An inscrutable smile. | 불가해한 미소.
spurious | ˈspjʊriəs | 가짜의, 허위의 | fake, false | genuine | The document was spurious. | 문서가 가짜였다. | Spurious claims. | 허위 주장.
salient | ˈseɪliənt | 두드러진, 현저한 | notable, prominent | minor | The salient features. | 두드러진 특징. | She highlighted the salient points. | 현저한 요점을 강조했다.
elucidate | ɪˈluːsɪdeɪt | 설명하다, 밝히다 | clarify, explain | confuse | She elucidated the concept. | 개념을 설명했다. | The report elucidates the issue. | 보고서가 문제를 밝힌다.
inalienable | ɪnˈeɪliənəbl | 양도할 수 없는, 빼앗을 수 없는 | absolute, inherent | alienable | Inalienable human rights. | 양도할 수 없는 인권. | Freedom is an inalienable right. | 자유는 양도할 수 없는 권리이다.
perfidious | pərˈfɪdiəs | 배반하는, 배신적인 | traitorous, disloyal | loyal | A perfidious ally. | 배반하는 동맹. | His perfidious nature was revealed. | 배신적 본성이 드러났다.
=== Day 32 ===
precipitous | prɪˈsɪpɪtəs | 가파른, 급격한, 성급한 | steep, sudden | gradual | A precipitous decline. | 급격한 하락. | The precipitous cliff. | 가파른 절벽.
inveterate | ɪnˈvɛtərɪt | 뿌리 깊은, 고질적인 | habitual, chronic | occasional | He is an inveterate liar. | 고질적인 거짓말쟁이다. | An inveterate habit. | 뿌리 깊은 습관.
supplant | səˈplænt | 대체하다, 밀어내다 | replace, supersede | retain | Digital has supplanted print. | 디지털이 인쇄를 대체했다. | She was supplanted by a rival. | 경쟁자에게 밀려났다.
candor | ˈkændər | 솔직함, 꾸밈없음 | honesty, frankness | deceit | She spoke with candor. | 솔직하게 말했다. | His candor was refreshing. | 솔직함이 상쾌했다.
ostentatious | ˌɑːstɛnˈteɪʃəs | 과시적인, 화려한 | showy, lavish | modest | Her lifestyle is ostentatious. | 생활 방식이 과시적이다. | An ostentatious car. | 과시적인 차.
despot | ˈdɛspɑːt | 전제 군주, 독재자 | tyrant, dictator | democrat | The despot oppressed the people. | 전제 군주가 국민을 억압했다. | She overthrew the despot. | 독재자를 전복했다.
penurious | pɪˈnʊriəs | 극빈의, 인색한 | poor, stingy | generous | They lived in penurious conditions. | 극빈 상태에서 살았다. | Penurious spending habits. | 인색한 소비 습관.
harbinger | ˈhɑːrbɪndʒər | 전조, 선구자 | omen, forerunner | - | The robin is a harbinger of spring. | 울새가 봄의 전조이다. | A harbinger of change. | 변화의 전조.
querulous | ˈkwɛrələs | 불평이 많은 | complaining, whiny | cheerful | A querulous voice. | 불평이 많은 목소리. | She was querulous about everything. | 모든 것에 불평이 많았다.
pejorative | pɪˈdʒɔːrətɪv | 경멸적인, 비하하는 | derogatory, disparaging | complimentary | A pejorative term. | 경멸적인 용어. | She used pejorative language. | 비하하는 언어를 사용했다.
=== Day 33 ===
perfunctory | pərˈfʌŋktəri | 형식적인, 건성의 | superficial, cursory | thorough | She gave a perfunctory nod. | 형식적으로 고개를 끄덕였다. | A perfunctory inspection. | 건성 검사.
repugnant | rɪˈpʌɡnənt | 혐오스러운, 불쾌한 | revolting, disgusting | pleasant | The idea is repugnant. | 아이디어가 혐오스럽다. | Repugnant behavior. | 혐오스러운 행동.
ignominious | ˌɪɡnəˈmɪniəs | 치욕적인, 불명예스러운 | shameful, disgraceful | glorious | An ignominious defeat. | 치욕적인 패배. | His ignominious end. | 불명예스러운 최후.
precursor | prɪˈkɜːrsər | 선구자, 전조 | forerunner, harbinger | successor | She is a precursor of modern art. | 현대 미술의 선구자이다. | A precursor of the revolution. | 혁명의 전조.
recondite | ˈrɛkəndaɪt | 난해한, 심오한 | obscure, abstruse | simple | The subject is recondite. | 주제가 난해하다. | Recondite knowledge. | 심오한 지식.
supine | suːˈpaɪn | 드러누운, 수동적인 | passive, lazy | active | She lay supine on the bed. | 침대에 드러누웠다. | A supine attitude. | 수동적 태도.
truculent | ˈtrʌkjələnt | 난폭한, 공격적인 | aggressive, fierce | gentle | He was truculent in the debate. | 토론에서 공격적이었다. | A truculent attitude. | 난폭한 태도.
equivocal | ɪˈkwɪvəkəl | 모호한, 애매한, 이중적인 | ambiguous, vague | clear | Her response was equivocal. | 응답이 모호했다. | An equivocal statement. | 애매한 진술.
perspicacious | ˌpɜːrspɪˈkeɪʃəs | 통찰력 있는, 예리한 | shrewd, astute | obtuse | She is a perspicacious observer. | 통찰력 있는 관찰자이다. | A perspicacious remark. | 예리한 발언.
duplicitous | djuːˈplɪsɪtəs | 이중적인, 기만적인 | deceitful, dishonest | honest | His duplicitous behavior. | 이중적인 행동. | She was duplicitous in her dealings. | 거래에서 기만적이었다.
=== Day 34 ===
effervescent | ˌɛfərˈvɛsənt | 거품이 이는, 들뜬 | bubbly, lively | flat | Her effervescent personality. | 들뜬 성격. | Effervescent drinks. | 거품이 이는 음료.
flagrant | ˈfleɪɡrənt | 명백한, 노골적인 | obvious, blatant | subtle | A flagrant violation. | 노골적인 위반. | Flagrant disregard for rules. | 명백한 규칙 무시.
panacea | ˌpænəˈsiːə | 만병통치약, 해결책 | cure-all, remedy | - | There is no panacea for poverty. | 빈곤의 만병통치약은 없다. | Technology is not a panacea. | 기술은 만병통치약이 아니다.
repercussion | ˌriːpərˈkʌʃən | 영향, 반향, 결과 | consequence, impact | - | The decision had serious repercussions. | 결정이 심각한 영향을 미쳤다. | She faced the repercussions. | 결과에 직면했다.
paragon | ˈpærəɡɑːn | 모범, 귀감, 전형 | model, ideal | - | She is a paragon of virtue. | 미덕의 귀감이다. | A paragon of excellence. | 탁월함의 전형.
vicarious | vaɪˈkɛriəs | 대리의, 간접적인 | indirect, secondhand | direct | She gets vicarious pleasure from reading. | 독서에서 간접적 즐거움을 얻는다. | Vicarious experience. | 간접 경험.
obdurate | ˈɑːbdjʊrɪt | 완고한, 냉혹한 | stubborn, unyielding | flexible | She remained obdurate. | 완고한 채로 남았다. | His obdurate refusal. | 완고한 거절.
pertinent | ˈpɜːrtɪnənt | 적절한, 관련 있는 | relevant, applicable | irrelevant | A pertinent question. | 적절한 질문. | The information is pertinent. | 정보가 관련이 있다.
zealous | ˈzɛləs | 열성적인, 열렬한 | enthusiastic, passionate | apathetic | She is a zealous worker. | 열성적인 일꾼이다. | A zealous advocate. | 열렬한 옹호자.
nascent | ˈnæsənt | 초기의, 발생하는 | emerging, developing | mature | A nascent industry. | 초기 산업. | Nascent talent. | 싹트는 재능.
=== Day 35 ===
prescient | ˈprɛʃənt | 선견지명이 있는 | foresighted, prophetic | shortsighted | She made a prescient prediction. | 선견지명 있는 예측을 했다. | A prescient leader. | 선견지명이 있는 지도자.
insular | ˈɪnsjələr | 섬의, 편협한 | narrow-minded, isolated | broad-minded | He has an insular view. | 편협한 시각이 있다. | An insular community. | 편협한 공동체.
recalcitrant | rɪˈkælsɪtrənt | 반항적인, 다루기 힘든 | rebellious, defiant | obedient | A recalcitrant teenager. | 반항적인 십대. | Recalcitrant employees. | 다루기 힘든 직원.
antithesis | ænˈtɪθɪsɪs | 안티테제, 정반대 | opposite, contrast | parallel | She is the antithesis of lazy. | 게으름의 정반대이다. | The antithesis of good is evil. | 선의 정반대는 악이다.
labyrinthine | ˌlæbəˈrɪnθɪn | 미로 같은, 복잡한 | complex, intricate | simple | The labyrinthine corridors. | 미로 같은 복도. | A labyrinthine bureaucracy. | 미로 같은 관료제.
apocryphal | əˈpɑːkrɪfəl | 출처 불분명한, 진위 의심스러운 | doubtful, untrue | verified | The story is apocryphal. | 이야기가 진위 의심스럽다. | Apocryphal accounts. | 출처 불분명한 기록.
recrimination | rɪˌkrɪmɪˈneɪʃən | 비난의 응수, 맞비난 | accusation, blame | praise | Mutual recrimination followed. | 상호 비난이 이어졌다. | She engaged in recrimination. | 맞비난에 참여했다.
inexorable | ɪnˈɛksərəbl | 막을 수 없는, 가차 없는 | relentless, unstoppable | stoppable | The inexorable march of time. | 막을 수 없는 시간의 행진. | Inexorable progress. | 가차 없는 진보.
malfeasance | mælˈfiːzəns | 불법행위, 직권남용 | misconduct, wrongdoing | - | He was accused of malfeasance. | 불법행위로 기소되었다. | Corporate malfeasance. | 기업 불법행위.
ameliorate | əˈmiːliəreɪt | 개선하다, 향상시키다 | improve, better | worsen | Steps to ameliorate the situation. | 상황을 개선하기 위한 조치. | She ameliorated the conditions. | 조건을 향상시켰다.
